Branch,Mean,Max,Min
1,0.15890444015444016,0.1626930501930502,0.15592313092313093
2,0.09484964221432023,0.09755476535405418,0.09222310022389042
3,0.06786768012953134,0.06994018170369704,0.06561572366645678
4,0.05295772702155092,0.055495947688340395,0.05073908638791674
5,0.04348347360007523,0.04507264093281301,0.041701537448869244
10,0.026458668883462357,0.027539356782875255,0.025294851145633086
15,0.020988128691862132,0.021804209439697193,0.020295922463726558
