Surface,Volume,Soma_Surface,N_stems,N_bifs,N_branch,Width,Depth,Diameter,PathDistance,Branch_Order,Contraction,Fragmentation,Partition_asymmetry,Pk_classic,Bif_ampl_local,Fractal_Dim,Bif_ampl_remote,Length,Height,EucDistance,Class
2697.06,617.237,1292.47,7,159,325,44.64,17.5,0.636401,123.489,32,0.828229,1553,0.688932,2.1851,101.54,1.15172,97.6225,1271.9,46.6,36.6484,Glia
1642.36,506.834,1013.64,8,67,142,36,13,0.868379,68.3692,10,0.817384,691,0.468147,2.56793,107.41,1.14468,99.3599,580.902,43.04,32.7819,Glia
2321.25,618.652,462.239,9,107,223,31.47,15,0.740608,95.5157,19,0.832368,1036,0.62726,2.51537,102.966,1.14515,103.362,970.217,52.25,39.411,Glia
2444.4,579.247,750.188,8,120,248,49.08,17.5,0.626347,155.843,25,0.812504,1459,0.646884,2.32935,101.128,1.15033,102.171,1175.55,54.25,47.213,Glia
2621.12,584.129,1073.86,8,157,322,46.98,18.5,0.658584,89.5412,25,0.821473,1483,0.612865,2.15024,105.21,1.16956,100.075,1202.66,58.2,46.8333,Glia
3098.1,749.401,917.017,3,140,283,49.9,17.5,0.638271,177.983,27,0.794351,1805,0.662348,2.44835,103.683,1.15887,101.9,1498.86,61.32,42.5711,Glia
1821.22,427.223,416.922,8,124,256,30.51,16.5,0.608555,77.2619,18,0.827893,1066,0.636377,2.08966,104.175,1.15325,101.785,885.469,45.19,28.6652,Glia
2000.7,460.42,222.715,3,104,211,28.34,21.5,0.722095,93.7438,19,0.795996,1012,0.613748,2.26723,106.024,1.16446,107.438,877.211,45.79,33.4026,Glia
1520.96,272.876,1007.21,5,92,189,29.98,18,0.535589,111.649,28,0.806154,1045,0.671778,2.21419,102.274,1.15052,103.208,873.867,67.54,42.194,Glia
1524.62,267.657,690.72,9,103,215,39.38,20.5,0.51214,122.686,18,0.834846,1089,0.621701,2.50434,109.271,1.14881,103.689,900.88,43.34,30.001,Glia
2287.52,624.041,758.818,8,92,192,36.22,17.5,0.770723,92.4247,22,0.807651,1065,0.681313,2.23345,105.324,1.1477,99.7497,894.229,52.15,32.4264,Glia
2477.5,631.133,1268.75,5,129,263,40.49,20,0.711403,99.0443,21,0.827313,1169,0.659921,2.12637,108.83,1.15238,102.339,1039.14,50.07,33.0024,Glia
2000.31,428.495,976.353,8,98,204,28.5,15,0.617466,103.762,15,0.799007,1097,0.598166,2.39302,105.268,1.15836,104.234,979.169,59.41,44.1938,Glia
1353.1,278.138,526.908,8,88,184,29.81,18,0.591952,81.9897,14,0.835818,825,0.670372,2.14296,106.664,1.16668,101.59,697.684,54.31,33.0862,Glia
1667.72,322.635,616.918,7,94,195,28.49,17.5,0.554429,94.8691,15,0.825679,1156,0.649909,2.46406,101.024,1.1459,98.2083,943.77,65.06,39.7641,Glia
1227.85,249.503,725.679,6,79,164,29.31,14.5,0.520773,84.0228,13,0.821147,854,0.615963,2.4603,102.729,1.14955,104.248,698.733,50.07,31.6519,Glia
